step,train_loss
5,10.098601341247559
39,9.269908905029297
78,8.352232933044434
111,7.799875259399414
146,7.293755531311035
194,7.407376766204834
220,7.1998090744018555
257,7.144647121429443
313,7.042792320251465
363,7.109395980834961
404,6.9634857177734375
443,6.986231803894043
492,6.770105838775635
538,6.774331092834473
577,6.741493225097656
615,6.603610992431641
657,6.7841901779174805
709,6.632595062255859
757,6.431763648986816
793,6.64154052734375
843,6.640949249267578
871,6.501201629638672
900,6.765480041503906
941,6.602961540222168
996,6.599495887756348
1043,6.464020729064941
1085,6.524777889251709
1116,6.434499740600586
1168,6.506909370422363
1230,6.249610900878906
1274,6.312184810638428
1329,6.3612565994262695
1357,6.390458106994629
1401,6.441389083862305
1437,6.325699806213379
1477,6.274570465087891
1521,6.2314958572387695
1589,6.38861608505249
1615,6.3787841796875
1638,6.4952592849731445
1676,6.294672012329102
1704,6.24021053314209
1752,6.410106658935547
1782,6.284846305847168
1813,6.196839332580566
1867,6.185111999511719
1907,6.238630294799805
1949,6.28127384185791
1997,6.209249019622803
2020,6.137951850891113
2053,6.29423189163208
2097,6.253884315490723
2169,6.1546735763549805
2232,6.411467552185059
2286,6.2485198974609375
2335,6.111305236816406
2391,5.975255489349365
2425,6.257359981536865
2464,6.083593845367432
2495,6.183688163757324
2542,5.980561256408691
2580,6.1690521240234375
2624,6.152149200439453
2681,5.898651123046875
2723,6.202324390411377
2800,5.961369037628174
2838,6.036924362182617
2863,5.927788734436035
2920,5.90400505065918
2953,6.049513816833496
2995,6.209115505218506
3039,5.960264205932617
3089,5.802073001861572
3144,5.744852066040039
3188,5.950824737548828
3229,5.635307788848877
3333,5.686546325683594
3368,5.9511871337890625
3405,5.9629034996032715
3442,5.942948341369629
3483,5.765310287475586
3509,6.048048496246338
3543,5.750707626342773
3603,6.076883316040039
3647,5.843535423278809
3673,5.961377143859863
3708,6.21478796005249
3723,5.973045825958252
3776,5.829740047454834
3809,5.769119739532471
3860,5.631567478179932
3899,5.81127405166626
3932,5.887821674346924
3962,5.671428680419922
3998,5.841426849365234
4034,5.701840400695801
4058,5.847995281219482
4095,5.823972702026367
4137,6.059736251831055
4175,5.742800235748291
4207,5.773531913757324
4241,5.756587505340576
4282,5.920819282531738
4328,5.970589637756348
4376,5.626361846923828
4435,5.596417427062988
4480,5.804320812225342
4528,5.8411736488342285
4574,5.636761665344238
4607,5.650312900543213
4645,5.8303704261779785
4694,5.364902019500732
4744,5.810577392578125
4774,5.618214130401611
4818,5.632345676422119
4854,6.001004219055176
4901,5.850099086761475
4940,5.5850019454956055
4980,5.747656345367432
5023,5.804978370666504
5082,5.699697494506836
5123,5.763572692871094
5184,5.622358798980713
5225,5.694727897644043
5251,5.618234157562256
5280,5.820427894592285
5329,5.675148963928223
5375,5.311204433441162
5412,5.798602104187012
5485,5.6672163009643555
5535,5.456715106964111
5565,5.789607524871826
5601,5.555047035217285
5646,5.626679420471191
5681,5.632541656494141
5740,5.399712562561035
5785,5.673993110656738
5817,5.587313652038574
5847,5.425052642822266
5887,5.643452167510986
5927,5.36724328994751
5960,5.358685493469238
5995,5.496185302734375
6046,5.678178310394287
6085,5.609481334686279
6128,5.355471134185791
6169,5.32146692276001
6215,5.592364311218262
6269,5.615139961242676
6307,5.842679023742676
6348,5.6501898765563965
6387,5.470697402954102
6423,5.495809555053711
6457,5.140183448791504
6512,5.4835710525512695
6544,5.41884708404541
6588,5.593122959136963
6616,5.410155773162842
6672,5.158572196960449
6709,5.630013465881348
6731,5.712692737579346
6777,5.710619926452637
6829,5.423728942871094
6865,5.790331840515137
6900,5.675711154937744
6954,5.524382591247559
6992,5.579401969909668
7053,5.468466758728027
7102,5.623979568481445
7139,5.316514015197754
7181,5.543891429901123
7234,5.481252193450928
7257,5.520544052124023
7320,5.589028835296631
7358,5.085580348968506
7400,5.46368932723999
7439,5.340081691741943
7482,5.270294189453125
7532,5.336471080780029
7610,5.496586799621582
7643,5.332115173339844
7681,5.504144191741943
7721,5.172947883605957
7744,5.664968490600586
7778,5.372684478759766
7828,5.3141279220581055
7869,5.2650957107543945
7909,5.620318412780762
7949,5.310633659362793
8002,5.327157974243164
8052,5.256078243255615
8079,5.148312091827393
8109,5.423453330993652
8175,5.331989288330078
8202,5.445019721984863
8233,5.294590950012207
8270,5.532847881317139
8297,5.059053897857666
8331,5.125993728637695
8379,5.363768100738525
8411,5.676549434661865
8434,5.5022735595703125
8481,5.226421356201172
8535,5.1786789894104
8596,5.265596389770508
8646,5.127654075622559
8693,5.638881683349609
8750,5.323119163513184
8785,5.205777168273926
8843,5.504508972167969
8879,5.457544803619385
8926,5.347582817077637
8968,5.34848690032959
8995,5.280453681945801
9038,5.397312164306641
9109,5.129906177520752
9131,5.724322319030762
9169,5.507330894470215
9214,5.257898330688477
9246,5.1500749588012695
9269,5.284403324127197
9331,5.765349388122559
9379,5.347650527954102
9408,5.077140808105469
9445,5.438758850097656
9493,5.186206817626953
9521,5.148224353790283
9553,5.3026204109191895
9596,5.028712749481201
9644,5.368229866027832
9680,5.304909706115723
9719,5.061480522155762
9769,5.376142978668213
9811,5.387174606323242
9833,5.036841869354248
9878,5.393328666687012
9927,5.314121246337891
9968,5.452340126037598
10006,5.139490127563477
10053,5.237277030944824
10091,5.221229553222656
10125,5.093064308166504
10160,5.217074871063232
10191,5.010076522827148
10235,5.097561836242676
10261,4.835621356964111
10291,5.137195587158203
10336,5.032713413238525
10391,5.2638373374938965
10435,5.370525360107422
10486,5.152881622314453
10537,5.240519046783447
10574,5.084990501403809
10617,4.924081802368164
10650,5.226195812225342
10678,5.214917182922363
10715,4.960926532745361
10765,4.946675777435303
10810,5.070180892944336
10856,5.084988594055176
10910,4.961242198944092
10949,5.206894874572754
11022,5.223447799682617
11051,5.120312690734863
11089,5.256250381469727
11132,5.152040481567383
11159,5.023855209350586
11197,5.059514999389648
11229,4.716098308563232
11268,4.994844436645508
11300,5.213468551635742
11370,5.14717435836792
11395,5.005197525024414
11439,4.932931423187256
11474,4.8720479011535645
11529,5.049064636230469
11560,4.851850509643555
11634,5.115858554840088
11684,4.840160369873047
11735,5.0536980628967285
11762,5.151129722595215
11805,5.202531814575195
11851,5.058232307434082
11890,5.085479736328125
11921,5.261053085327148
11942,4.955053806304932
11973,4.903069496154785
12019,5.008121490478516
12069,4.9639081954956055
12096,5.3092570304870605
12130,4.7881317138671875
12190,4.93253231048584
12242,5.175343990325928
12272,4.899744987487793
12323,4.8789825439453125
12357,4.862081050872803
12397,5.257391929626465
12435,4.866634845733643
12463,5.0219292640686035
12503,4.972267150878906
12542,4.717530250549316
12583,5.221930027008057
12613,4.969010829925537
12660,4.968042373657227
12707,4.971337795257568
12732,4.884677886962891
12780,4.837825298309326
12829,4.934732913970947
12886,5.101113319396973
12934,4.416516304016113
12970,5.033546447753906
13035,5.162186622619629
13108,4.921608924865723
13138,4.958118915557861
13186,5.120208263397217
13233,4.336089611053467
13277,4.8786702156066895
13314,4.882724761962891
13354,5.010276794433594
13398,5.202157497406006
13427,5.129158973693848
13482,5.054566860198975
13515,5.181609153747559
13579,5.164463520050049
13614,4.6352105140686035
13657,5.183365821838379
13702,4.926120281219482
13751,4.810918807983398
13778,4.629420280456543
13811,5.114015102386475
13846,4.9796366691589355
13883,4.827660083770752
13930,4.823516845703125
13969,4.813284873962402
14008,5.016027450561523
14046,4.603109836578369
14078,5.05898380279541
14123,4.766198635101318
14171,5.05751371383667
14229,5.037166595458984
14275,4.844424247741699
14320,4.846866130828857
14356,5.3506903648376465
14390,4.819067001342773
14434,4.8076372146606445
14468,5.158195972442627
14502,4.954652309417725
14544,4.98441219329834
14571,5.001814842224121
14615,4.557499408721924
14657,4.853382110595703
14699,4.916380882263184
14736,4.862235069274902
14772,4.982785224914551
14810,5.086514472961426
14864,4.985503196716309
14900,4.602061748504639
14934,4.836739540100098
14984,5.135807991027832
15026,5.009528160095215
15072,5.497859001159668
15118,4.984879493713379
15159,5.083181381225586
15195,5.183829307556152
15245,5.192237377166748
15269,4.658807277679443
15299,5.054718494415283
15330,5.059982776641846
15370,4.272099494934082
15404,4.911020755767822
15448,4.875699520111084
15482,4.690980911254883
15534,4.956012725830078
15563,4.7159743309021
15614,4.680273532867432
15686,4.914933681488037
15727,4.813872814178467
15782,4.830918312072754
15823,4.851235866546631
15862,4.70195198059082
15907,4.628191947937012
15950,4.852773666381836
15994,4.750454425811768
16026,4.937604904174805
16063,4.76565408706665
16123,4.9547929763793945
16153,4.8022942543029785
16188,4.840731620788574
16228,4.778767108917236
16260,4.71121883392334
16292,4.919065952301025
16348,4.286789894104004
16390,4.668920993804932
16418,4.485191822052002
16456,4.775657653808594
16488,4.837198257446289
16547,4.630372047424316
16583,4.9169793128967285
16626,4.797519683837891
16664,4.965211868286133
16709,4.119699954986572
16753,4.800745964050293
16786,4.923312664031982
16811,4.684928894042969
16862,4.406940937042236
16900,4.692775726318359
16933,4.52907657623291
16973,4.628501892089844
17004,4.623186111450195
17038,4.7617716789245605
17086,4.45595645904541
17115,4.871455192565918
17169,4.740058422088623
17202,4.5436296463012695
17255,5.123314380645752
17321,4.808562278747559
17367,4.706182956695557
17420,5.0140604972839355
17494,4.275941848754883
17536,4.264304161071777
17562,4.917777061462402
17613,4.716107368469238
17647,4.578793525695801
17680,4.681403160095215
17705,4.553072929382324
17753,4.5550312995910645
17819,4.811372756958008
17849,4.835743427276611
17887,4.824810028076172
17925,4.474736213684082
17966,4.470013618469238
18006,4.536408424377441
18041,4.909484386444092
18085,4.748327255249023
18124,4.8207526206970215
18168,4.632350444793701
18199,4.439284324645996
18241,4.501482009887695
18269,4.69601583480835
18333,4.807723045349121
18389,5.013404846191406
18421,4.731297969818115
18494,4.839147567749023
18528,4.511435031890869
18555,5.18165397644043
18583,4.77163553237915
18609,4.716335296630859
18664,4.575660705566406
18682,5.142172813415527
18724,4.90817928314209
18761,4.924028396606445
18811,4.656380653381348
18867,4.604458332061768
18894,5.204498767852783
18932,4.7073516845703125
18974,4.666008472442627
19020,4.703200340270996
19062,4.741837501525879
19094,4.609637260437012
19135,4.678483486175537
19203,4.461048603057861
19236,4.98095703125
19274,4.564462661743164
19328,4.67795991897583
19380,4.699578285217285
19407,4.541950225830078
19461,4.685079574584961
19504,4.581336975097656
19529,4.74666690826416
19560,4.523049354553223
19595,4.849575519561768
19644,4.5942792892456055
19698,4.8403425216674805
19726,4.712408065795898
19761,4.845983982086182
19790,4.813467502593994
19829,4.765820026397705
